Q1gen,Q2age,Q3edu,Q4lon,Q5fPo,Q6fRe,Q7noC,Q8noT,Q9_1pPo.sel,Q9_2pPo.pub,Q9_3pPo.edi,Q9_4pPo.rev,Q9_5pPo.pFb,Q9_6pPo.del,Q10_1emo.edi,Q10_2emo.rev,Q10_3emo.pFb,Q10_4emo.0Fb,Q10_5emo.nFb,Q10_6emo.del,Q10_7emo.Re.ing,Q10_8emo.Re.ed,Q11_1iMa.awa,Q11_2iMa.lik,Q11_3iMa.fri,Q11_4iMa.des,Q11_5iMa.com,Q11_6iMa.ski,Q11_7iMa.int,Q11_8iMa.sat,Q11_9iMa.pro.self,Q11_10iMa.pro.fri,Q12_1att.des,Q12_2att.eas,Q12_3att.dis,Q12_4att.dem,Q12_5att.p.a,Q12_6att.p.fri,Q12_7att.n.dis,Q12_8att.n.fri
1,2,2,2,4,1,2,1,0,67,66,76,74,0,3,3,4,3,,3,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,2,2,3,4
2,2,1,2,2,1,5,2,7,49,25,90,78,9,3,4,4,3,2,3,3,3,4,4,5,4,4,4,4,4,3,5,4,3,3,3,4,5,2,3
1,2,1,1,3,2,3,2,0,20,70,20,30,20,3,3,4,3,3,4,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2
1,2,1,3,3,2,7,4,7,93,50,80,81,0,4,3,4,3,2,3,4,4,4,4,3,2,2,3,4,4,3,4,2,2,2,4,4,1,2,2
1,2,2,2,3,1,3,2,10,38,18,16,31,7,3,3,4,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3
1,2,2,3,2,1,6,2,0,100,100,91,85,5,4,4,5,2,2,3,3,3,5,5,5,5,5,5,5,4,4,3,4,5,1,3,3,3,3,3
1,2,1,2,4,3,5,2,100,0,0,50,100,0,,3,3,,,,2,2,4,4,4,4,4,3,4,4,3,4,2,4,3,4,2,2,3,3
2,2,2,4,3,2,3,2,6,2,6,7,17,24,3,4,4,4,3,2,4,3,4,4,4,4,4,4,3,4,3,4,3,3,3,4,4,3,4,3
1,2,1,3,4,1,5,1,0,20,63,78,68,0,3,4,5,2,2,,3,4,4,4,4,4,4,3,3,4,3,4,4,4,2,4,4,4,2,2
2,2,1,1,5,1,4,1,0,0,0,0,27,0,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,2,1,3,4,2,5,2,100,70,66,85,83,24,4,4,5,3,4,2,4,4,5,5,5,4,3,5,5,4,2,5,5,4,4,5,5,4,4,4
1,2,1,2,3,1,4,1,0,100,22,74,75,28,3,3,5,2,3,1,4,3,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,4,3,3
1,2,1,2,1,1,11,3,90,10,100,10,10,10,4,,4,3,3,,3,3,4,4,4,4,4,4,4,4,5,4,4,3,2,2,2,4,2,2
2,2,2,2,3,3,4,2,7,84,10,32,50,0,,3,4,2,3,,3,3,3,1,5,3,3,3,3,3,3,3,4,4,2,3,1,1,1,1
2,2,1,2,4,1,3,2,12,10,8,16,50,50,,5,5,,2,2,5,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4
2,2,1,2,2,1,8,2,40,20,100,80,65,26,3,3,4,2,2,2,3,3,5,5,5,5,3,4,4,3,3,4,4,2,2,5,4,3,2,3
2,2,1,3,4,1,4,2,50,50,80,80,80,70,3,3,2,3,4,4,3,3,3,4,4,4,3,3,3,3,2,3,4,3,3,4,3,4,3,4
2,6,3,4,3,1,1,2,37,15,21,24,70,23,,,4,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,3,5,5
2,2,2,2,3,1,3,2,2,59,66,67,73,3,4,4,5,3,2,3,3,3,4,4,4,4,4,4,4,3,3,3,4,3,2,3,4,4,2,2
2,2,2,1,2,1,3,2,91,0,100,100,85,2,5,5,5,1,1,2,3,3,5,3,3,2,2,2,2,4,3,1,4,5,3,2,3,3,3,3
1,2,2,2,4,1,6,2,20,100,21,80,80,0,3,,4,2,2,,4,3,4,4,4,4,3,3,4,5,3,4,4,2,2,2,3,4,3,2
2,2,2,1,1,1,7,2,31,75,71,64,68,23,4,4,4,,3,,3,3,4,4,4,3,3,3,4,4,3,3,2,4,3,2,4,3,3,3
2,2,2,3,2,1,6,2,25,26,76,50,50,9,5,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,5,3,2,3,4,4,2,2
2,2,2,1,1,1,2,2,91,51,100,100,12,83,5,5,3,1,1,3,1,1,5,5,5,1,5,5,5,5,5,5,5,5,5,3,5,4,1,1
2,2,2,2,2,1,8,3,5,3,10,56,61,1,4,4,5,3,2,3,4,3,4,4,4,2,2,4,4,4,4,4,4,4,2,2,4,4,2,2
2,2,1,2,3,1,11,3,80,50,80,100,100,20,3,3,4,2,2,5,5,5,4,5,5,5,3,4,3,3,5,2,4,5,3,4,4,4,4,2
1,2,1,3,4,1,4,2,5,95,5,20,100,0,3,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,2,2,4,3,1,3,3,5,95,70,60,70,5,3,3,4,3,3,3,3,3,4,4,4,3,3,4,4,3,5,5,2,2,4,4,3,2,3,3
2,2,2,2,4,2,4,2,80,90,10,20,99,0,4,3,3,3,3,3,3,3,4,3,4,2,2,2,2,5,4,4,3,4,3,3,4,4,3,3
1,2,3,2,2,2,2,2,57,62,68,50,60,41,3,3,3,3,3,3,4,3,5,5,4,5,5,5,5,5,5,5,5,3,3,3,3,3,4,3
2,2,1,4,5,4,3,5,66,70,20,63,50,6,3,3,3,3,,,3,3,2,2,2,2,3,3,2,2,2,3,2,2,4,3,5,2,3,2
2,2,1,2,2,2,2,1,0,100,8,63,72,5,4,4,4,3,2,3,3,3,4,4,4,4,4,4,4,4,3,2,3,5,3,3,3,2,5,4
2,2,2,3,2,1,4,2,5,78,94,66,69,6,3,5,5,2,3,2,3,3,4,4,4,4,3,3,4,4,3,4,4,3,2,3,4,4,3,3
1,2,2,4,2,1,2,2,15,0,82,35,50,0,3,3,4,3,3,,4,4,4,5,5,5,5,5,5,4,3,3,5,4,2,4,2,2,3,3
1,2,2,2,2,1,2,2,10,88,10,5,20,10,3,2,5,3,2,2,3,3,4,4,4,2,3,4,4,2,2,3,4,2,2,2,3,2,2,2
2,2,2,4,2,2,1,2,50,50,50,50,50,50,4,3,4,3,3,3,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,2,2,3,4,3
2,2,2,2,3,1,3,2,50,75,100,73,100,100,3,4,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,5,2,6,1,1,1,4,50,50,50,50,50,50,,5,4,4,5,4,4,5,4,3,4,3,3,4,4,4,4,3,4,4,4,4,4,3,4,4
2,6,2,2,2,1,1,2,21,77,30,0,35,0,4,3,4,3,,,3,3,5,4,5,4,3,3,3,4,3,4,5,4,2,1,1,1,1,1
